c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
15,BOYACA,15511,PACHAVITA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE PACHAVITA BOYACÁ,Carrera 2 # 2- 38,3136828327,"Lunes a Viernes de 8:00 a.m, a 12:00 y 1:00 p.m., a 5:00 p.m.",-73396267,5139645,"5°08'22.7""N 73°23'46.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15514,PAEZ,Municipio,6,1,1,COMISARÍA DE FAMILIA DE PÁEZ BOYACÁ,Carrera 3b # 3-63,3133674733,Lunes a Viernes de 8:00am-12:30pm 2:00pm-6:00pm,-73052663,5102255,"5°06'08.1""N 73°03'09.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15518,PAJARITO,Municipio,6,1,1,ÚNICA COMISARÍA DE FAMILIA DE PAJARITO BOYACÁ,Carrera 2  calle  5  Palacio Municipal,3208560662,Lunes a Viernes de  8AM -12 PM Y 2-6 PM,-72702917,5292972,"5°17'34.7""N 72°42'10.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15537,PAZ DE RIO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE PAZ DE RÍO BOYACÁ,Carrera 3 # 7-50,310802415,Lunes a Viernes de 8 a 12 y de 1:30 a 6pm,-72749694,5985139,"5°59'06.5""N 72°44'58.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15542,PESCA,Municipio,6,1,1,COMISARÍA DE FAMILIA  PESCA BOYACÁ,Carrera 5 # 4-53,3142231260,Lunes a Viernes de 8 am a 6 pm,-73051944,5558361,"5°33'30.1""N 73°03'07.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15550,PISBA,Municipio,6,1,1,COMISARÍA DE FAMILIA  PISBA BOYACÁ,ESQUINA PARQUE PRINCIPAL,3114774078,Lunes a Viernes de 8:00 AM A 12M Y DE 2:00PM A 6:00PM,-72485139,5723417,"5°43'24.3""N 72°29'06.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15580,QUIPAMA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE QUÍPAMA BOYACÁ,Calle  9# 6- 28,3113304090,Lunes a Viernes de 8:00 AM A 12M Y DE 2:00PM A 6:00PM,-74178472,5523583,"5°31'24.9""N 74°10'42.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15599,RAMIRIQUI,Municipio,6,1,1,COMISARÍA DE FAMILIA RAMIRIQUÍ BOYACÁ,Carrera 6 # 7-35 Ramiriquí,3232203261,Lunes a Viernes de  8 AM -12:30 PM  - 2PM -6 PM,-73335707,5401247,"5°24'04.5""N 73°20'08.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15600,RAQUIRA,Municipio,6,1,1,COMISARÍA DE FAMILIA RÁQUIRA BOYACÁ,Carrera 4 # 3 - 17 Palacio Municipal,3004651470 - 3114462445,Lunes a Jueves: 8:00am a 1:00pm y de 2:00pm a 5:00pm. Domingos: de 8:00am a 12:00m del medio dia.,-73633250,5537917,"5°32'16.5""N 73°37'59.7""W",Directorio Comisarias Ley 2126
15,BOYACA,15621,RONDON,Municipio,6,1,1,COMISARÍA DE FAMILIA DE RONDÓN BOYACÁ,Carrera 4 # 4-41,3204642104,Lunes a Viernes de  8 am a 6 pm,-73209041,5356458,"5°21'23.3""N 73°12'32.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15632,SABOYA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SABOYÁ BOYACÁ,CALLE 8 # 9-50 PLAZA DE MERCADO PRIMER PISO,3209636620,"Lunes a Viernes de  8:00 AM - 12:30 PM , 1:30 PM - 5:00 PM",-73765639,5699361,"5°41'57.7""N 73°45'56.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15638,SACHICA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SÁCHICA BOYACÁ,CARRERA 4 # 3 41,3209042590,Lunes a Viernes de  8:00 A.M. A 1:00 P.M. Y DE 2:00 P.M. A 5:00 P.M.,-73542611,5583441,"5°35'00.4""N 73°32'33.4""W",Directorio Comisarias Ley 2126
